Time	Fin	pitch rate	Az Demand	Az
0.52	-0.37443	0.00593883	-1	0.00171974
0.525	-0.377743	0.00617408	-1	0.00176705
0.53	-0.381039	0.00641606	-1	0.00181525
0.535	-0.384318	0.00666488	-1	0.00186388
0.54	-0.38758	0.00692066	-1	0.00191341
0.545	-0.390824	0.00718352	-1	0.00196332
0.55	-0.394049	0.00745356	-1	0.00201393
0.555	-0.397255	0.00773091	-1	0.00206531
0.56	-0.400442	0.00801567	-1	0.00211714
0.565	-0.403609	0.00830797	-1	0.00216974
0.57	-0.406756	0.00860791	-1	0.00222274
0.575	-0.409882	0.00891562	-1	0.00227651
0.58	-0.412986	0.0092312	-1	0.00233062
0.585	-0.416068	0.00955478	-1	0.00238551
0.59	-0.419128	0.00988646	-1	0.00244067
0.595	-0.422166	0.0102264	-1	0.00249659
0.6	-0.425179	0.0105746	-1	0.00255273
0.605	-0.428169	0.0109312	-1	0.00260961
0.61	-0.431134	0.0112965	-1	0.00266666
0.615	-0.434074	0.0116704	-1	0.00272441
0.62	-0.436988	0.012053	-1	0.00278229
0.625	-0.439877	0.0124446	-1	0.00284083
0.63	-0.442738	0.0128451	-1	0.00289945
0.635	-0.445572	0.0132548	-1	0.00295866
0.64	-0.448379	0.0136736	-1	0.00301792
0.645	-0.451156	0.0141018	-1	0.0030777
0.65	-0.453905	0.0145394	-1	0.00313785
0.655	-0.456625	0.0149865	-1	0.00319772
0.66	-0.459314	0.0154433	-1	0.00325823
0.665	-0.461972	0.0159097	-1	0.0033185
0.67	-0.464599	0.016386	-1	0.00337925
0.675	-0.467194	0.0168723	-1	0.00343978
0.68	-0.469757	0.0173685	-1	0.00350063
0.685	-0.472287	0.0178749	-1	0.0035616
0.69	-0.474782	0.0183915	-1	0.00362209
0.695	-0.477244	0.0189184	-1	0.00368291
0.7	-0.479671	0.0194557	-1	0.00374374
0.705	-0.482062	0.0200034	-1	0.00380385
0.71	-0.484417	0.0205618	-1	0.00386426
0.715	-0.486735	0.0211308	-1	0.00392453
0.72	-0.489016	0.0217105	-1	0.00398393
0.725	-0.491259	0.0223011	-1	0.00404349
0.73	-0.493464	0.0229025	-1	0.00410277
0.735	-0.495629	0.023515	-1	0.00416109
0.74	-0.497755	0.0241384	-1	0.00421937
0.745	-0.49984	0.024773	-1	0.00427717
0.75	-0.501884	0.0254188	-1	0.00433447
0.755	-0.503887	0.0260758	-1	0.00439052
0.76	-0.505847	0.0267442	-1	0.00444637
0.765	-0.507765	0.0274237	-1	0.00449731
0.77	-0.509639	0.0281142	-1	0.0045501
0.775	-0.51147	0.028816	-1	0.00459881
0.78	-0.513256	0.029529	-1	0.00465365
0.785	-0.514996	0.0302539	-1	0.00470718
0.79	-0.516691	0.0309904	-1	0.00475819
0.795	-0.518339	0.0317386	-1	0.00480637
0.8	-0.51994	0.0324986	-1	0.00485109
0.805	-0.521494	0.0332701	-1	0.0049003
0.81	-0.522999	0.0340533	-1	0.00494604
0.815	-0.523599	0.0348484	-1	0.00498934
0.82	-0.523599	0.0356553	-1	0.00503045
0.825	-0.523599	0.0364738	-1	0.00506529
